iter	RMSE
0	76901.34588
1	75086.14316
2	73376.13963
3	71440.51932
4	69681.06974
5	68002.6552
6	66277.26177
7	64636.64887
8	63214.20194
9	61793.19847
10	60301.36261
11	58877.34763
12	57460.43827
13	56211.34419
14	55092.48686
15	53950.04468
16	52943.17122
17	51904.29561
18	50884.46413
19	49795.62599
20	48886.4483
21	47890.4506
22	47031.6245
23	46059.00794
24	45227.68016
25	44384.76779
26	43503.37912
27	42840.61305
28	42044.06802
29	41220.72142
30	40588.68275
31	39929.68765
32	39278.44004
33	38687.81203
34	38076.34754
35	37423.93977
36	36788.46402
37	36211.52013
38	35686.72718
39	35197.96419
40	34739.08257
41	34285.63569
42	33927.20172
43	33554.10593
44	33103.01111
45	32699.25754
46	32278.21608
47	31861.16462
48	31422.96914
49	31053.17501
50	30645.64259
51	30310.3235
52	29965.39848
53	29630.25027
54	29295.22543
55	28983.21295
56	28675.74355
57	28387.87296
58	28058.99992
59	27801.71456
60	27537.69596
61	27302.757
62	27069.14675
63	26803.29447
64	26542.62597
65	26375.27459
66	26133.60229
67	25940.17505
68	25728.36211
69	25562.17456
70	25401.49315
71	25217.16138
72	25052.0574
73	24850.67465
74	24690.65923
75	24536.02165
76	24398.30198
77	24252.33835
78	24085.33334
79	23935.17416
80	23750.84953
81	23618.0476
82	23476.93414
83	23367.6041
84	23241.20153
85	23110.58018
86	22988.79665
87	22860.10454
88	22743.25002
89	22625.4804
90	22533.827
91	22442.25604
92	22347.65197
93	22219.48068
94	22112.88839
95	22016.067
96	21886.28023
97	21777.15451
98	21688.77686
99	21602.18833
100	21527.40407
101	21434.96341
102	21363.77679
103	21298.71327
104	21211.01
105	21147.66172
106	21065.47283
107	21009.71822
108	20956.81768
109	20890.61919
110	20807.60415
111	20711.52655
112	20596.78074
113	20539.31485
114	20435.37752
115	20380.59999
116	20317.9019
117	20252.68191
118	20145.04628
119	20074.14686
120	20017.96425
121	19949.29487
122	19862.46029
123	19819.69317
124	19756.10604
125	19691.66813
126	19630.10964
127	19594.63468
128	19519.67053
129	19458.1674
130	19400.01209
131	19341.93306
132	19289.41644
133	19233.4428
134	19198.91082
135	19134.92833
136	19097.11675
137	19039.45424
138	18992.09216
139	18918.56169
140	18858.87663
141	18819.87933
142	18748.58031
143	18696.17698
144	18639.56907
145	18609.26684
146	18559.1099
147	18485.51132
148	18435.11955
149	18383.52885
150	18350.42631
151	18304.12968
152	18265.71972
153	18200.44176
154	18150.45091
155	18093.55678
156	18054.61048
157	17987.78802
158	17955.25353
159	17912.52097
160	17887.54056
161	17847.90381
162	17815.33345
163	17764.4513
164	17747.27934
165	17715.63057
166	17674.4329
167	17629.01897
168	17590.34708
169	17547.60859
170	17527.59263
171	17478.75145
172	17436.91295
173	17411.62566
174	17366.25831
175	17337.1748
176	17302.5754
177	17273.09572
178	17228.24269
179	17206.75889
180	17186.20346
181	17161.60328
182	17124.65916
183	17089.05605
184	17062.67208
185	17013.14942
186	16988.21372
187	16941.47915
188	16881.97149
189	16849.31692
190	16819.40244
191	16771.99942
192	16739.37987
193	16703.2508
194	16681.12105
195	16621.7553
196	16607.02047
197	16590.70918
198	16570.68169
199	16536.6399
200	16507.29476
201	16476.33109
202	16438.72311
203	16399.86316
204	16355.0576
205	16322.41867
206	16297.00157
207	16281.97515
208	16243.56266
209	16224.13065
210	16201.68253
211	16143.12341
212	16111.0106
213	16079.084
214	16019.87625
215	16000.82438
216	15941.14054
217	15922.5909
218	15899.64717
219	15883.98116
220	15846.14952
221	15804.71721
222	15774.82117
223	15747.58815
224	15727.68702
225	15692.92197
226	15671.52566
227	15636.08194
228	15611.44227
229	15575.22109
230	15534.32695
231	15482.92673
232	15435.5112
233	15384.79155
234	15350.8978
235	15303.60122
236	15270.45617
237	15260.56723
238	15235.50981
239	15204.50502
240	15161.00771
241	15124.66374
242	15103.98466
243	15090.81529
244	15073.44659
245	15047.8252
246	15013.22417
247	14980.10078
248	14967.39097
249	14943.13517
250	14918.04954
251	14887.11661
252	14837.93351
253	14824.57345
254	14815.6583
255	14771.57428
256	14756.30173
257	14745.43735
258	14715.63381
259	14681.91186
260	14657.65461
261	14633.06467
262	14615.17695
263	14579.45233
264	14537.11632
265	14490.54133
266	14467.02922
267	14440.29523
268	14396.56984
269	14386.16538
270	14367.05612
271	14341.47884
272	14329.18074
273	14276.70937
274	14230.07266
275	14204.49535
276	14165.62121
277	14141.79639
278	14114.79393
279	14075.11957
280	14058.5704
281	14042.32347
282	14005.42206
283	13958.71433
284	13925.37355
285	13904.00175
286	13880.45573
287	13844.31969
288	13811.98778
289	13802.29693
290	13766.88519
291	13745.59365
292	13706.80502
293	13676.98038
294	13636.1055
295	13615.49005
296	13590.30627
297	13562.16416
298	13519.87547
299	13491.12985
300	13469.08425
301	13459.65918
302	13426.5028
303	13412.40086
304	13403.80042
305	13382.40771
306	13357.45782
307	13333.16889
308	13312.25201
309	13285.13835
310	13262.02362
311	13239.86248
312	13218.7965
313	13192.54032
314	13167.57816
315	13131.41611
316	13104.5007
317	13082.71829
318	13057.13573
319	13039.2361
320	13014.7938
321	12994.20807
322	12984.98117
323	12937.43344
324	12905.71381
325	12882.16825
326	12867.14841
327	12854.30011
328	12823.50889
329	12793.6025
330	12777.73713
331	12736.35674
332	12710.50091
333	12703.14844
334	12676.57149
335	12653.63715
336	12630.70688
337	12602.1267
338	12567.68664
339	12531.51645
340	12510.75108
341	12493.50567
342	12468.04722
343	12429.43145
344	12417.36987
345	12392.13216
346	12370.28386
347	12363.51469
348	12331.40715
349	12306.73383
350	12284.93732
351	12273.49797
352	12245.98201
353	12228.63164
354	12222.77274
355	12202.19478
356	12189.09279
357	12160.53934
358	12138.9673
359	12116.51062
360	12104.16628
361	12085.10517
362	12079.84214
363	12045.72508
364	12025.8121
365	12007.06168
366	11988.0744
367	11959.83141
368	11954.43199
369	11933.89056
370	11912.62973
371	11896.44219
372	11877.29364
373	11851.90295
374	11831.58349
