iter	Passed	Remaining
0	10	10183
1	12	6291
2	15	5140
3	18	4508
4	20	4080
5	23	3821
6	25	3629
7	27	3464
8	30	3382
9	33	3274
10	35	3161
11	52	4354
12	55	4227
13	58	4104
14	61	4008
15	63	3924
16	66	3827
17	68	3725
18	70	3637
19	72	3570
20	74	3491
21	77	3440
22	79	3374
23	81	3318
24	84	3288
25	86	3235
26	88	3181
27	90	3143
28	92	3113
29	95	3075
30	97	3049
31	99	3021
32	102	3008
33	105	2991
34	107	2957
35	109	2930
36	111	2914
37	114	2890
38	116	2873
39	118	2855
40	121	2838
41	124	2838
42	126	2814
43	128	2796
44	131	2781
45	133	2758
46	135	2748
47	137	2730
48	139	2713
49	142	2714
50	145	2708
51	147	2691
52	150	2681
53	152	2673
54	154	2660
55	157	2650
56	159	2639
57	161	2630
58	164	2622
59	166	2609
60	168	2596
61	171	2590
62	173	2581
63	175	2572
64	178	2563
65	180	2556
66	183	2550
67	185	2538
68	187	2529
69	190	2527
70	192	2516
71	194	2508
72	196	2498
73	199	2490
74	200	2478
75	203	2475
76	205	2467
77	208	2459
78	210	2454
79	212	2447
80	215	2439
81	217	2440
82	220	2435
83	223	2432
84	225	2430
85	228	2425
86	231	2428
87	233	2420
88	235	2411
89	238	2408
90	240	2401
91	243	2400
92	245	2396
93	247	2390
94	250	2385
95	252	2382
96	254	2373
97	257	2369
98	259	2359
99	261	2350
100	263	2343
101	265	2335
102	267	2328
103	269	2319
104	271	2312
105	273	2302
106	274	2294
107	277	2287
108	278	2279
109	280	2271
110	282	2265
111	285	2261
112	287	2255
113	289	2251
114	291	2244
115	293	2238
116	295	2231
117	297	2225
118	299	2217
119	301	2210
120	303	2205
121	305	2199
122	307	2193
123	309	2188
124	311	2182
125	313	2176
126	315	2170
127	318	2167
128	320	2162
129	322	2157
130	324	2153
131	326	2146
132	328	2139
133	330	2133
134	332	2128
135	334	2122
136	336	2116
137	338	2112
138	340	2106
139	342	2102
140	344	2100
141	346	2095
142	348	2091
143	351	2087
144	353	2082
145	355	2077
146	357	2072
147	359	2068
148	361	2064
149	363	2061
150	365	2057
151	368	2055
152	371	2054
153	373	2051
154	375	2046
155	384	2082
156	387	2079
157	389	2074
158	392	2073
159	394	2071
160	397	2070
161	400	2072
162	402	2068
163	405	2066
164	407	2063
165	410	2062
166	413	2063
167	416	2060
168	418	2059
169	421	2057
170	424	2056
171	426	2054
172	428	2050
173	431	2048
174	433	2043
175	435	2039
176	438	2037
177	440	2033
178	442	2029
179	445	2027
180	447	2024
181	449	2021
182	454	2028
183	456	2025
184	459	2022
185	461	2017
186	463	2014
187	465	2010
188	467	2006
189	470	2003
190	472	2000
191	474	1996
192	476	1993
193	479	1990
194	481	1986
195	483	1983
196	485	1980
197	488	1977
198	490	1973
199	492	1970
200	494	1965
201	496	1962
202	501	1968
203	504	1966
204	506	1964
205	508	1959
206	511	1957
207	513	1953
208	515	1949
209	517	1947
210	519	1944
211	522	1941
212	524	1939
213	526	1934
214	528	1929
215	530	1925
216	532	1921
217	534	1916
218	536	1913
219	538	1910
220	541	1907
221	542	1902
222	545	1899
223	547	1897
224	550	1895
225	552	1893
226	555	1890
227	558	1890
228	560	1888
229	564	1888
230	567	1887
231	569	1884
232	572	1882
233	574	1881
234	577	1879
235	579	1875
236	581	1871
237	583	1866
238	585	1863
239	587	1860
240	589	1856
241	592	1854
242	594	1851
243	596	1847
244	598	1844
245	600	1839
246	602	1835
247	604	1832
248	607	1830
249	608	1826
250	611	1823
251	613	1820
252	615	1816
